date;location_key;new_confirmed;new_tested;cumulative_confirmed;new_persons_vaccinated;cumulative_persons_vaccinated;mobility_retail_and_recreation;mobility_grocery_and_pharmacy;mobility_parks;mobility_transit_stations;mobility_workplaces;mobility_residential
01/01/2020;BR;380.0;1154.0;380.0;;;;;;;;
02/01/2020;BR;906.0;2337.0;1286.0;;;;;;;;
03/01/2020;BR;478.0;1307.0;1764.0;;;;;;;;
04/01/2020;BR;1848.0;5007.0;3612.0;;;;;;;;
05/01/2020;BR;1095.0;3459.0;4707.0;;;;;;;;
06/01/2020;BR;821.0;2250.0;5528.0;;;;;;;;
07/01/2020;BR;607.0;1665.0;6135.0;;;;;;;;
08/01/2020;BR;440.0;1237.0;6575.0;;;;;;;;
09/01/2020;BR;173.0;446.0;6748.0;;;;;;;;
10/01/2020;BR;74.0;274.0;6822.0;;;;;;;;
11/01/2020;BR;229.0;587.0;7051.0;;;;;;;;
12/01/2020;BR;323.0;925.0;7374.0;;;;;;;;
13/01/2020;BR;199.0;479.0;7573.0;;;;;;;;
14/01/2020;BR;150.0;428.0;7723.0;;;;;;;;
15/01/2020;BR;142.0;439.0;7865.0;;;;;;;;
16/01/2020;BR;68.0;180.0;7933.0;;;;;;;;
17/01/2020;BR;69.0;164.0;8002.0;;;;;;;;
18/01/2020;BR;139.0;423.0;8141.0;;;;;;;;
19/01/2020;BR;104.0;306.0;8245.0;;;;;;;;
20/01/2020;BR;172.0;566.0;8417.0;;;;;;;;
21/01/2020;BR;109.0;466.0;8526.0;;;;;;;;
22/01/2020;BR;113.0;379.0;8639.0;;;;;;;;
23/01/2020;BR;63.0;209.0;8702.0;;;;;;;;
24/01/2020;BR;44.0;244.0;8746.0;;;;;;;;
25/01/2020;BR;110.0;309.0;8856.0;;;;;;;;
26/01/2020;BR;80.0;259.0;8936.0;;;;;;;;
27/01/2020;BR;111.0;291.0;9047.0;;;;;;;;
28/01/2020;BR;96.0;290.0;9143.0;;;;;;;;
29/01/2020;BR;75.0;270.0;9218.0;;;;;;;;
30/01/2020;BR;105.0;262.0;9323.0;;;;;;;;
31/01/2020;BR;176.0;344.0;9499.0;;;;;;;;
01/02/2020;BR;240.0;684.0;9739.0;;;;;;;;
02/02/2020;BR;162.0;549.0;9901.0;;;;;;;;
03/02/2020;BR;119.0;470.0;10020.0;;;;;;;;
04/02/2020;BR;293.0;523.0;10313.0;;;;;;;;
05/02/2020;BR;82.0;223.0;10395.0;;;;;;;;
06/02/2020;BR;78.0;228.0;10473.0;;;;;;;;
07/02/2020;BR;80.0;242.0;10553.0;;;;;;;;
08/02/2020;BR;101.0;326.0;10654.0;;;;;;;;
09/02/2020;BR;91.0;267.0;10745.0;;;;;;;;
10/02/2020;BR;110.0;388.0;10855.0;;;;;;;;
11/02/2020;BR;108.0;264.0;10963.0;;;;;;;;
12/02/2020;BR;147.0;352.0;11110.0;;;;;;;;
13/02/2020;BR;58.0;212.0;11168.0;;;;;;;;
14/02/2020;BR;76.0;339.0;11244.0;;;;;;;;
15/02/2020;BR;126.0;443.0;11370.0;;;5.0;4.0;-5.0;8.0;6.0;0.0
16/02/2020;BR;108.0;287.0;11478.0;;;2.0;3.0;-13.0;3.0;0.0;1.0
17/02/2020;BR;128.0;380.0;11606.0;;;-2.0;0.0;-12.0;9.0;19.0;-1.0
18/02/2020;BR;134.0;534.0;11740.0;;;-3.0;-1.0;-11.0;9.0;15.0;-1.0
19/02/2020;BR;176.0;479.0;11916.0;;;-1.0;-2.0;-5.0;8.0;14.0;-1.0
20/02/2020;BR;96.0;389.0;12012.0;;;1.0;7.0;2.0;11.0;15.0;-2.0
21/02/2020;BR;69.0;187.0;12081.0;;;2.0;10.0;1.0;12.0;13.0;-1.0
22/02/2020;BR;108.0;311.0;12189.0;;;-3.0;6.0;12.0;6.0;-4.0;0.0
23/02/2020;BR;68.0;187.0;12257.0;;;4.0;7.0;32.0;2.0;-3.0;1.0
24/02/2020;BR;96.0;372.0;12353.0;;;-14.0;-7.0;69.0;-27.0;-45.0;8.0
25/02/2020;BR;0.0;283.0;0.0;;;-31.0;-29.0;51.0;-35.0;-61.0;10.0
26/02/2020;BR;1.0;11606.0;1.0;;;-18.0;-11.0;-8.0;-17.0;-18.0;6.0
27/02/2020;BR;0.0;298.0;1.0;;;-8.0;2.0;-11.0;1.0;10.0;1.0
28/02/2020;BR;0.0;309.0;1.0;;;-5.0;3.0;-17.0;2.0;13.0;1.0
29/02/2020;BR;1.0;156.0;2.0;;;-3.0;5.0;-23.0;-2.0;5.0;3.0
01/03/2020;BR;0.0;447.0;2.0;;;-9.0;3.0;-34.0;-10.0;-1.0;5.0
02/03/2020;BR;0.0;715.0;2.0;;;-6.0;1.0;-25.0;6.0;20.0;0.0
03/03/2020;BR;0.0;360.0;2.0;;;-5.0;2.0;-21.0;6.0;15.0;-1.0
