Title,Label,Target
Diverse electrical responses in a network of fractional-order conductance-based excitable Morris-Lecar systems,Neuroscience,0
Dendrites help mitigate the plasticity-stability dilemma,Neuroscience,0
Interpretable machine learning approach for neuron-centric analysis of human cortical cytoarchitecture,Neuroscience,0
Hydrogen production by the steam reforming of synthetic biogas in atmospheric-pressure microwave (915 MHz) plasma,Chemistry,1
Screening of lactic acid bacteria strains isolated from Iranian traditional dairy products for GABA production and optimization by response surface methodology,Chemistry,1
Adjusted green HPLC determination of nirmatrelvir and ritonavir in the new FDA approved co-packaged pharmaceutical dosage using supported computational calculations,Chemistry,1
Vestibular modulation of the tail of the rat striatum,Neuroscience,0
Enhanced antibody-antigen structure prediction from molecular docking using AlphaFold2,Chemistry,1
Elucidating the molecular mechanisms of essential oils' insecticidal action using a novel cheminformatics protocol,Chemistry,1
Sensory fusion in the hoverfly righting reflex,Neuroscience,0
The role of superficial and deep layers in the generation of high frequency oscillations and interictal epileptiform discharges in the human cortex,Neuroscience,0
Use of network pharmacology and molecular docking to explore the mechanism of action of curcuma in the treatment of osteosarcoma,Chemistry,1
"Lithium hydroxide as a high capacity adsorbent for CO 2 capture: experimental, modeling and DFT simulation",Chemistry,1
"Hydrogen sulfide and polysulfides induce GABA/glutamate/ d -serine release, facilitate hippocampal LTP, and regulate behavioral hyperactivity",Neuroscience,0
"Bubble-enhanced basanite–tephrite mixing in the early stages of the Cumbre Vieja 2021 eruption, La Palma, Canary Islands",Chemistry,1
Anaerobic co-digestion of grass and cow manure: kinetic and GHG calculations,Chemistry,1
Kinin B 1 and B 2 receptors mediate cancer pain associated with both the tumor and oncology therapy using aromatase inhibitors,Neuroscience,0
In silico drug discovery of SIRT2 inhibitors from natural source as anticancer agents,Chemistry,1
Neuronal chemokine concentration gradients mediate effects of embryonic ethanol exposure on ectopic hypocretin/orexin neurons and behavior in zebrafish,Neuroscience,0
Increased body weight in mice with fragile X messenger ribonucleoprotein 1 ( Fmr1 ) gene mutation is associated with hypothalamic dysfunction,Neuroscience,0
Green preparation of graphene oxide nanosheets as adsorbent,Chemistry,1
Cortical glia in SOD1(G93A) mice are subtly affected by ALS-like pathology,Neuroscience,0
Optimized protocol for MALDI MSI of N-glycans using an on-tissue digestion in fresh frozen tissue sections,Chemistry,1
Complex adaptive learning cortical neural network systems for solving time-fractional difference equations with bursting and mixed-mode oscillation behaviours,Neuroscience,0
TRPA1 as a O 2 sensor detects microenvironmental hypoxia in the mice anterior cingulate cortex,Neuroscience,0
Analgesic effects of a highly selective mPGES-1 inhibitor,Neuroscience,0
Stability of olfactory behavior syndromes in the Drosophila larva,Neuroscience,0
Induced alpha and beta electroencephalographic rhythms covary with single-trial speech intelligibility in competition,Neuroscience,0
Designing highly potent compounds using a chemical language model,Chemistry,1
Changes in the chemical compositions and biological properties of kombucha beverages made from black teas and pineapple peels and cores,Chemistry,1
Inhibitory neurons control the consolidation of neural assemblies via adaptation to selective stimuli,Neuroscience,0
A novel computational approach to pain perception modelling within a Bayesian framework using quantitative sensory testing,Neuroscience,0
Physicochemical features partially explain olfactory crossmodal correspondences,Neuroscience,0
Cre-dependent ACR2-expressing reporter mouse strain for efficient long-lasting inhibition of neuronal activity,Neuroscience,0
Nanobubble size distribution measurement by interactive force apparatus under an electric field,Chemistry,1
Full-color micro -LED display with photo-patternable and highly ambient-stable perovskite quantum dot/siloxane composite as color conversion layers,Chemistry,1
Synthesis of novel antibacterial nanocomposite CuO/Ag-modified zeolite for removal of MB dye,Chemistry,1
Novel Zn metal–organic framework with the thiazole sites for fast and efficient removal of heavy metal ions from water,Chemistry,1
Sustainable approach of La doped CuFe 2 O 4 nanomaterial for electrochemical lead and paracetamol sensing action with multiple applications,Chemistry,1
Deciphering migraine pain mechanisms through electrophysiological insights of trigeminal ganglion neurons,Neuroscience,0
Distinct nonlinear spectrotemporal integration in primary and secondary auditory cortices,Neuroscience,0
"Determination of ethanol, isopropyl alcohol and methanol in alcohol-based hand sanitiser to ensure product quality, safety and efficacy",Chemistry,1
One year follow-up on a randomized study investigating serratus anterior muscle and pectoral nerves type I block to reduced neuropathic pain descriptors after mastectomy,Neuroscience,0
Sex-differences in prostaglandin signaling: a semi-systematic review and characterization of PTGDS expression in human sensory neurons,Neuroscience,0
A validated LC–MS/MS method for clinical pharmacokinetics and presumptive phase II metabolic pathways following oral administration of Andrographis paniculata extract,Chemistry,1
Metal chalcogenides (CuS or MoS 2 )-modified TiO 2 as highly efficient bifunctional photocatalyst nanocomposites for green H 2 generation and dye degradation,Chemistry,1
Ghrelin signaling in the cerebellar cortex enhances GABAergic transmission onto Purkinje cells,Neuroscience,0
Peripheral nerve stimulation for the treatment of chronic knee pain,Neuroscience,0
An in-depth analysis of four classes of antidepressants quantification from human serum using LC–MS/MS,Chemistry,1
Inhibition of NHE1 transport activity and gene transcription in DRG neurons in oxaliplatin-induced painful peripheral neurotoxicity,Neuroscience,0
Electrospun nanofiber membrane diameter prediction using a combined response surface methodology and machine learning approach,Chemistry,1
An underexploited invisible gold resource in the Archean sulphides of the Witwatersrand tailings dumps,Chemistry,1
Evolutionary conservation and diversification of auditory neural circuits that process courtship songs in Drosophila,Neuroscience,0
